"","Location","Rate","TAX"
1,Alabama,93.5,0.425
2,Alaska,61,$2.00
3,Arizona,54.4,$2.00
4,Arkansas,96.2,$1.15
5,California,50.6,$0.87
6,Colorado,48.7,$0.84
7,Connecticut,67.4,$3.40
8,Delaware,77.1,$1.60
9,District of Columbia,74.3,$1.34
10,Florida,70.9,$0.37
11,Georgia,85.5,$3.20
12,Hawaii,54.4,$0.57
13,Idaho,54.8,$1.98
14,Illinois,77.4,$1.00
15,Indiana,86.6,$1.36
16,Iowa,75.9,$0.79
17,Kansas,72,$0.60
18,Kentucky,111.2,$0.36
19,Louisiana,89.4,$2.00
20,Maine,82.7,$2.00
21,Maryland,64.1,$2.51
22,Massachusetts,70.8,$2.00
23,Michigan,75.6,$1.23
24,Minnesota,60.6,$0.68
25,Mississippi,98.4,$0.17
26,Missouri,90.3,$1.70
27,Montana,58.6,$0.64
28,Nebraska,70.8,$0.80
29,New Hampshire,67.2,$1.68
30,New Jersey,65.5,$2.70
31,New Mexico,47.7,$1.66
32,New York,69.8,$4.35
33,North Carolina,85.1,$0.45
34,North Dakota,67.5,$0.44
35,Ohio,80.4,$1.25
36,Oklahoma,84.9,$1.03
37,Oregon,60,$1.18
38,Pennsylvania,76.9,$1.60
39,Rhode Island,79.6,$3.50
40,South Carolina,84.4,$0.57
41,South Dakota,65.8,$1.53
42,Tennessee,92.4,$0.62
43,Texas,68.2,$1.41
44,Utah,37,$1.70
45,Vermont,69.2,$2.62
46,Virginia,73.7,$0.30
47,Washington,64.5,$3.03
48,West Virginia,93.8,$0.55
49,Wisconsin,66.7,$2.52
50,Wyoming,49.1,$0.60
